키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
파이썬강좌,40,30,7,높음,0.3,1.0,0.76,2.64
데이터베이스,1090,1130,10,높음,0.4,1.0,0.04,0.1
SQL,4280,4810,10,높음,5.2,12.2,0.13,0.27
편집디자인학원,60,80,10,높음,0.7,3.8,1.25,4.94
국비교육,900,1220,10,높음,5.4,16.0,0.63,1.39
리눅스교육,10,10,7,높음,1.1,1.2,6.02,8.7
임베디드개발자,100,250,10,높음,0.5,3.2,0.5,1.37
온라인평생교육원,420,380,10,높음,16.7,26.8,4.01,7.39
AI교육,4220,4250,10,높음,39.6,68.8,0.96,1.73
SQLD,13100,15600,10,높음,9.2,25.0,0.08,0.17
데이터분석교육,70,50,10,높음,1.9,2.2,2.47,4.32
데이터분석자격증,1380,2680,10,높음,3.1,15.4,0.24,0.61
PYTHON,6570,2700,10,높음,2.9,7.8,0.05,0.31
라즈베리파이,2940,3740,10,높음,19.3,32.2,0.69,0.98
임베디드교육,30,40,7,높음,1.1,1.1,3.47,2.85
부산자바학원,60,10,10,높음,0.2,0.0,0.31,0.0
데이터분석가,530,1050,10,높음,0.9,4.4,0.18,0.45
내일배움카드사용처,3640,7620,10,높음,10.7,77.6,0.31,1.08
빅데이터,1360,2680,10,높음,0.8,10.0,0.07,0.39
실업자국비지원,470,1890,10,높음,4.3,27.6,0.94,1.53
코딩교육,230,340,10,높음,0.8,3.2,0.34,0.99
빅데이터부트캠프,10,10,7,높음,0.9,1.3,6.6,7.82
빅데이터분석기사인강,140,100,10,높음,6.5,7.8,4.82,8.22
머신비전교육,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
자율주행자동차,980,5000,10,높음,2.2,28.8,0.23,0.63
금융데이터,50,30,7,높음,0.1,0.3,0.29,0.76
OPENAPI,630,310,10,높음,0.6,1.1,0.1,0.36
UI,2660,3340,10,높음,0.9,2.6,0.04,0.09
데이터분석전문가,740,980,10,높음,0.6,2.8,0.09,0.3
무료빅데이터,20,30,7,높음,0.0,1.0,0.0,3.04
커스터마이징,2570,4710,10,높음,1.2,14.0,0.05,0.32
코딩기초,60,110,10,높음,0.1,0.3,0.17,0.22
직장인부트캠프,90,140,10,높음,1.8,6.2,2.05,4.34
파이썬공부,70,60,7,높음,0.0,1.1,0.0,1.77
무료교육,280,310,10,높음,4.2,7.0,1.52,2.39
K디지털트레이닝,670,1110,10,높음,3.0,18.4,0.46,1.71
고졸취업,540,2010,10,높음,1.9,13.2,0.38,0.7
솔루션,2530,7030,10,높음,1.4,21.2,0.06,0.32
부트캠프추천,120,210,10,높음,1.7,8.4,1.5,4.25
파이썬온라인,30,10,7,높음,0.1,0.3,0.39,2.0
자율주행차,390,1230,10,높음,0.4,7.3,0.11,0.64
개발자부트캠프,130,150,10,높음,2.0,5.6,1.56,3.81
파이썬배우기,70,30,7,높음,0.4,0.5,0.61,1.86
파이썬온라인교육,< 10,20,7,높음,0.0,0.0,0.0,0.0
파이썬기초강의,40,30,7,높음,1.1,1.4,2.86,4.64
파이썬데이터분석,110,130,10,높음,1.1,3.0,1.0,2.42
IOT,4910,6260,10,높음,3.8,12.1,0.08,0.22
병역특례,850,1330,10,높음,1.3,3.2,0.16,0.26
파이썬온라인강좌,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
점프투파이썬,730,800,10,높음,3.5,12.6,0.5,1.7
파이썬인터넷강의,10,10,7,높음,0.9,1.0,5.05,8.34
IT교육,140,90,10,높음,1.9,1.0,1.35,1.14
IT인강,10,10,7,높음,0.1,0.0,1.1,0.0
국비지원무료교육종류,10,350,10,높음,0.0,8.2,0.0,2.37
AI과정,30,40,10,높음,0.4,2.2,1.12,5.0
AI교육과정,340,330,10,높음,5.0,12.8,1.46,4.0
AI교육기관,90,40,10,높음,4.2,3.6,4.78,8.58
AI교육센터,470,1070,10,높음,17.9,83.0,3.9,8.17
MARIADB,330,80,3,높음,0.0,0.3,0.0,0.43
SCRIPT,920,2160,0,낮음,0.0,0.0,0.0,0.0
SQL자격증,2060,4380,10,높음,3.6,21.4,0.19,0.52
데이터부트캠프,80,130,10,높음,3.3,7.0,4.13,5.79
데이터분석국비,< 10,10,10,높음,0.4,0.6,5.72,4.29
데이터분석학원,30,40,10,높음,0.9,5.4,3.0,13.18
코딩공부,70,100,10,높음,0.6,0.9,0.77,0.95
국비학원,220,600,10,높음,1.7,6.0,0.77,1.07
온라인부트캠프,60,70,10,높음,1.8,6.2,2.96,8.74
국비파이썬,< 10,10,7,높음,0.1,0.5,2.86,4.55
데이터분석파이썬,10,30,3,높음,0.0,0.0,0.0,0.0
데이터분석프로젝트,40,40,7,높음,0.1,0.3,0.3,0.63
데이터전문가,60,110,10,높음,0.1,0.5,0.16,0.49
빅데이터전문가,280,760,10,높음,0.4,3.2,0.15,0.45
파이썬무료교육,20,10,7,높음,0.4,0.0,2.15,0.0
파이썬입문강의,10,< 10,7,높음,0.1,0.0,1.79,0.0
파이썬책,200,380,10,높음,0.2,2.5,0.11,0.71
데이터분석인강,< 10,< 10,7,높음,0.0,0.5,0.0,7.15
AI강좌,190,230,10,높음,2.4,7.2,1.31,3.19
사물인터넷IOT,210,270,7,높음,1.9,4.0,0.9,1.53
스마트팜무료교육,< 10,10,3,높음,0.0,0.8,0.0,8.34
임베디드국비,< 10,< 10,7,높음,1.1,1.5,12.7,18.75
임베디드국비지원,10,< 10,7,높음,0.1,0.5,0.9,25.0
코딩모임,< 10,< 10,2,중간,0.0,0.0,0.0,0.0
코딩연습,40,30,7,높음,0.3,0.3,0.67,0.91
파이썬교육기관,< 10,< 10,7,높음,0.1,0.0,3.58,0.0
파이썬오프라인교육,< 10,< 10,7,높음,0.1,0.0,3.58,0.0
데이터분석가교육,< 10,< 10,7,높음,0.3,0.3,5.72,25.0
파이썬강의추천,30,30,7,높음,0.7,0.5,2.11,1.52
파이션,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
데이터분석의뢰,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
데이터분석컨설팅,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
파이썬과외,< 10,20,10,높음,0.3,1.8,3.34,8.75
파이썬마스터,80,60,7,높음,0.0,0.0,0.0,0.0
데이터분석공부,20,30,7,높음,0.3,0.9,1.59,2.97
빅데이터준전문가,110,240,7,높음,0.0,0.0,0.0,0.0
파이썬인강추천,20,20,7,높음,0.3,1.4,1.25,5.21
파이슨,100,220,3,높음,0.0,0.0,0.0,0.0
딥러닝파이썬,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
코딩강좌,< 10,20,7,높음,0.0,0.3,0.0,1.25
코딩인터넷강의,< 10,10,7,높음,0.3,0.0,3.18,0.0
코딩취업,30,110,7,높음,0.0,0.5,0.0,0.47
파이썬자동화,70,50,7,높음,0.3,1.5,0.43,2.59
온라인파이썬,40,20,7,높음,0.1,0.5,0.35,2.57
파이썬AI,70,110,7,높음,0.0,0.8,0.0,0.67
파이썬기초강좌,< 10,< 10,7,높음,0.0,0.3,0.0,6.25
파이썬언어,40,40,7,높음,0.0,0.8,0.0,1.79
파이썬예제,50,20,7,높음,0.0,0.3,0.0,1.12
파이썬웹개발,20,20,3,높음,0.0,0.0,0.0,0.0
내일배움카드빅데이터,< 10,< 10,7,높음,0.0,0.8,0.0,15.0
데이터리안,590,440,1,중간,0.0,0.0,0.0,0.0
데이터분석캠프,10,10,7,높음,0.1,0.8,1.1,6.82
PYTHON교육,10,< 10,7,높음,0.1,0.0,0.9,0.0
빅데이터인강,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
데이터분석채용,210,570,10,높음,0.0,1.3,0.0,0.23
파이썬크롤링,40,30,7,높음,0.1,0.0,0.3,0.0
파이썬교육과정,< 10,< 10,7,높음,0.6,0.0,11.43,0.0
코틀린,290,260,10,높음,0.4,0.5,0.15,0.2
파이썬국비,80,120,10,높음,1.1,5.0,1.3,4.21
데이터분석강의추천,< 10,< 10,3,높음,0.3,0.0,11.12,0.0
데이터분석준전문가강의,10,< 10,7,높음,0.4,0.8,3.3,10.72
데이터사이언스교육,< 10,< 10,7,높음,0.1,0.0,2.86,0.0
파이선학원,< 10,< 10,7,높음,0.0,0.3,0.0,2.78
파이선강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
파이썬프로그램,420,270,10,높음,0.4,0.8,0.1,0.3
데이터분석국비교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
파이썬입문,70,50,7,높음,0.0,0.0,0.0,0.0
파이선교육,10,< 10,7,높음,0.3,1.0,2.05,16.67
크롤링강의,< 10,< 10,7,높음,0.0,0.3,0.0,8.34
데이터사이언스강의,< 10,< 10,7,높음,0.0,0.9,0.0,15.0
파이썬머신러닝,50,20,7,높음,0.0,0.0,0.0,0.0
파이썬스터디,10,< 10,7,높음,0.3,0.3,2.05,3.13
파이썬커리큘럼,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
파이썬학원비,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
DATASCIENTIST,60,50,7,높음,0.1,0.0,0.22,0.0
데이터분석사이트,10,< 10,3,중간,0.0,0.0,0.0,0.0
데이터사이언스공부,< 10,< 10,7,높음,0.0,0.3,0.0,9.1
데이터사이언스입문,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
파이선배우기,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
PYTHON배우기,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
파이썬수업,< 10,20,7,높음,0.1,0.8,2.05,3.13
데이터분석포트폴리오,70,70,10,높음,0.0,0.5,0.0,0.66
데이터강의,< 10,< 10,7,높음,0.6,0.3,28.58,3.13
데이터분석스터디,< 10,10,7,높음,0.1,0.0,2.86,0.0
PYTHON강의,10,< 10,7,높음,0.1,0.0,1.2,0.0
패스트캠퍼스데이터분석부트캠프,< 10,< 10,1,중간,0.0,0.0,0.0,0.0
파이썬개발,10,10,7,높음,0.0,0.3,0.0,1.67
직장인파이썬,< 10,10,7,높음,0.1,1.0,2.39,8.34
데이터애널리스트,50,120,7,높음,0.4,0.3,0.75,0.22
빅데이터분석가,50,90,10,높음,0.0,1.3,0.0,1.43
파이썬기초교육,10,< 10,7,높음,0.1,0.0,1.2,0.0
파이썬전문가,< 10,10,7,높음,0.0,0.0,0.0,0.0
파이썬웹크롤링,20,10,7,높음,0.0,0.3,0.0,1.43
PYTHON데이터분석,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
파이썬빅데이터,< 10,10,7,높음,0.0,0.0,0.0,0.0
파이썬클래스,50,20,3,높음,0.0,0.0,0.0,0.0
PYQT,60,20,1,중간,0.7,0.0,1.2,0.0
PYTHON책,10,20,3,높음,0.0,0.0,0.0,0.0
금융파이썬,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
밑바닥부터시작하는딥러닝,160,170,3,높음,0.3,0.3,0.23,0.21
아나콘다파이썬,80,40,1,중간,0.0,0.0,0.0,0.0
파이선설치,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
파이썬강사,< 10,< 10,7,높음,0.1,0.0,2.05,0.0
파이썬고급,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
파이썬공부사이트,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
파이썬금융,10,10,4,중간,0.0,0.8,0.0,7.7
파이썬데이터분석교육,< 10,< 10,7,높음,0.1,0.3,2.86,14.29
파이썬동영상,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
파이썬머신러닝완벽가이드,50,60,3,높음,0.0,0.0,0.0,0.0
파이썬무료강의,30,20,7,높음,0.3,0.3,0.8,1.07
파이썬무료인강,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
파이썬실무프로그래밍,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
파이썬실습,10,< 10,5,중간,0.0,0.0,0.0,0.0
파이썬알고리즘,20,40,3,높음,0.0,0.0,0.0,0.0
파이썬업무자동화,40,40,3,높음,0.0,0.0,0.0,0.0
파이썬엑셀,80,60,3,높음,0.0,0.0,0.0,0.0
파이썬오픈소스,10,10,3,높음,0.0,0.0,0.0,0.0
파이썬응용,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
파이썬인공지능,< 10,20,6,중간,0.0,0.0,0.0,0.0
파이썬인터넷,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
파이썬입문책,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
파이썬책추천,60,130,3,높음,0.0,0.0,0.0,0.0
KDIGITALTRAINING,80,80,7,높음,0.1,1.0,0.19,1.34
데이터사이언티스트,280,440,10,높음,0.3,1.2,0.11,0.29
데이터엔지니어채용,80,200,7,높음,0.1,0.3,0.19,0.14
스마트팜국비,< 10,20,6,중간,0.4,0.5,4.55,2.23
스마트팜국비지원,20,10,7,높음,0.3,0.0,1.4,0.0
스마트팜학원,10,< 10,6,중간,0.2,0.8,1.22,8.83
데이터,2040,5010,10,높음,0.7,16.2,0.04,0.35
데이터바우처,1020,200,10,높음,0.9,0.8,0.09,0.43
크롤링,1940,1790,10,높음,1.1,2.2,0.06,0.13
포토샵무료교육,< 10,< 10,7,높음,0.4,0.0,8.58,0.0
AI데이터분석,80,60,7,높음,0.4,0.3,0.55,0.42
국비지원데이터분석,20,20,7,높음,1.3,1.6,6.77,6.4
파이썬주식,30,30,3,높음,0.0,0.0,0.0,0.0
DART,59700,19800,7,중간,1.4,5.8,0.01,0.04
랜더링,990,1460,10,높음,0.6,2.1,0.07,0.15
데이터분석가부트캠프,20,30,7,높음,2.7,5.8,10.44,16.12
파이썬프로젝트,20,30,7,높음,0.1,1.0,0.6,3.23
파이썬코딩,280,350,10,높음,0.4,1.8,0.15,0.54
온라인쇼핑몰창업,370,850,10,높음,4.4,27.0,1.2,3.38
파이썬프로그래밍,110,100,10,높음,0.1,0.8,0.09,0.77
DOCKER,1000,300,0,낮음,0.0,0.0,0.0,0.0
데이터국비지원,< 10,< 10,7,높음,0.3,0.0,9.53,0.0
데이터분석국비지원,30,40,10,높음,2.3,2.8,6.06,6.83
데이터분석내일배움카드,10,< 10,7,높음,0.1,0.8,1.43,9.38
코딩책,60,170,10,높음,0.0,0.0,0.0,0.0
빅데이터교육,30,30,7,높음,0.4,2.0,1.16,6.07
C언어인터넷강의,< 10,< 10,7,높음,0.4,0.3,7.15,12.5
빅데이터국비지원,10,< 10,7,높음,1.3,0.2,11.69,2.86
AI국비지원교육,60,60,10,높음,0.8,2.8,1.24,4.67
블록체인코딩,< 10,< 10,5,중간,0.0,0.0,0.0,0.0
직장인코딩공부,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
데이터마이닝,550,650,10,높음,0.6,0.5,0.12,0.08
WPF교육,< 10,< 10,3,높음,0.0,0.0,0.0,0.0
FRONTEND,190,80,7,높음,0.1,0.3,0.08,0.31
안드로이드개발,30,20,7,높음,0.0,0.3,0.0,1.05
웹사이트개발,30,20,7,높음,1.3,0.6,3.48,2.73
프로그램언어,50,90,3,높음,0.0,0.0,0.0,0.0
데이터분석가국비지원,10,30,10,높음,0.5,2.0,2.78,5.41
주식자동매매시스템만들기,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
주식자동매매프로그램만들기,20,30,3,높음,0.0,0.0,0.0,0.0
C언어기초,230,410,10,높음,0.3,3.2,0.14,0.81
라즈베리파이강좌,< 10,< 10,8,높음,0.0,0.0,0.0,0.0
알고리즘교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
C언어온라인,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
자바온라인,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
AWS교육,50,40,10,높음,0.7,1.6,1.28,4.11
자바인터넷강의,< 10,< 10,7,높음,0.6,0.0,19.05,0.0
파이썬국비교육,< 10,< 10,7,높음,0.1,0.8,2.86,18.75
내일배움카드파이썬,40,30,10,높음,1.6,1.5,3.56,4.9
개발자온라인강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
국비지원파이썬,20,40,10,높음,0.5,2.2,2.18,6.29
C#강의,20,20,7,높음,0.6,1.5,2.6,7.5
C언어인강,50,50,7,높음,3.9,3.4,7.57,6.9
파이썬데이터분석강의,10,10,7,높음,0.7,1.0,5.96,8.34
파이썬내일배움카드,10,< 10,7,높음,0.0,0.8,0.0,9.38
파이썬활용,50,50,7,높음,0.1,0.0,0.26,0.0
AI국비지원,270,450,10,높음,7.9,33.0,3.08,7.63
IOT교육,10,10,7,높음,0.3,0.5,1.91,7.15
IT자격증,280,450,10,높음,0.2,4.6,0.08,1.06
IT직업,20,80,7,높음,0.0,0.5,0.0,0.6
PHP,800,980,10,높음,0.1,0.8,0.02,0.09
PHP교육,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
국비개발,< 10,< 10,7,높음,0.3,0.0,7.15,0.0
AI국비,60,60,10,높음,0.9,2.4,1.53,3.88
삼성프로그래밍,< 10,< 10,2,낮음,0.0,0.0,0.0,0.0
어린이파이썬,< 10,< 10,2,중간,0.0,0.0,0.0,0.0
데이터교육,50,30,7,높음,0.7,1.0,1.35,3.13
DAP,2480,3000,8,높음,1.3,4.5,0.06,0.17
그로스마케팅,520,490,10,높음,1.2,0.2,0.24,0.05
내일배움카드데이터분석,10,10,10,높음,0.9,0.7,4.74,4.35
REACT.JS,40,10,7,높음,0.1,0.0,0.34,0.0
AI국비교육,140,300,10,높음,3.7,13.6,2.57,4.86
AI만들기,170,620,10,높음,0.7,7.0,0.42,1.17
GITHUB,8330,3900,9,높음,2.7,5.0,0.04,0.14
JAVA,3000,1250,10,높음,0.6,3.5,0.03,0.3
JAVA국비지원,20,20,7,높음,0.0,0.0,0.0,0.0
RPA,3400,2130,10,높음,8.2,7.8,0.25,0.38
RPA교육,40,20,7,높음,2.0,1.2,4.66,3.97
SQL학원,40,80,10,높음,1.2,4.2,2.93,5.19
UXUI,650,880,10,높음,0.6,4.4,0.1,0.54
개발자,1050,2400,10,높음,1.3,7.8,0.13,0.35
개발자국비지원,60,70,10,높음,1.3,1.2,2.04,1.67
앱만들기,370,1040,10,높음,3.8,29.4,1.08,3.0
웹크롤링,370,230,7,높음,0.7,0.9,0.2,0.4
자바강의,50,30,7,높음,0.4,1.1,0.9,3.13
자바자격증,30,80,7,높음,0.1,0.6,0.4,0.75
프론트엔드개발,40,40,7,높음,0.0,0.2,0.0,0.53
프론트엔드개발자학원,20,< 10,7,높음,0.1,0.3,0.65,5.0
파이썬학원추천,< 10,< 10,7,높음,0.3,0.0,4.09,0.0
R강의,10,10,7,높음,0.6,0.8,3.01,5.77
자바인강,< 10,10,7,높음,0.3,1.0,4.77,5.89
개발자포트폴리오,160,90,7,높음,0.1,0.6,0.09,0.7
인공지능공부,20,20,7,높음,0.1,0.5,0.69,2.6
POWERBI교육,170,70,10,높음,2.6,1.2,1.55,1.6
자바파이썬,20,30,5,중간,0.0,0.0,0.0,0.0
C언어온라인강의,< 10,< 10,7,높음,0.7,0.5,8.93,8.34
빅데이터분석,250,240,10,높음,0.2,0.8,0.09,0.35
빅데이터분석강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
파이썬다운로드,3010,480,7,높음,1.0,1.0,0.04,0.23
POWERBI,2160,880,10,높음,1.9,4.2,0.09,0.49
데이터분석온라인강의,< 10,< 10,7,높음,0.1,1.0,4.77,14.29
R프로그래밍강의,< 10,< 10,7,높음,0.0,0.3,0.0,12.5
POWERBI자격증,100,80,7,높음,0.0,1.9,0.0,2.24
코딩무료강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
파이썬설치,1780,170,10,높음,0.3,0.3,0.02,0.16
ADSP,37200,60400,9,높음,27.4,74.3,0.08,0.13
비전공자IT취업,10,< 10,3,중간,0.0,0.0,0.0,0.0
빅데이터활용,30,20,7,높음,0.7,0.3,1.99,1.0
30대취업,110,290,10,높음,0.2,1.8,0.18,0.63
컴퓨터공학과취업,180,860,10,높음,0.2,4.2,0.12,0.54
백엔드인강,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
ADSP시험일정,11600,36000,9,높음,4.0,47.6,0.04,0.14
KTDS교육,< 10,10,1,중간,0.0,0.0,0.0,0.0
국가인적자원개발컨소시엄,760,170,0,낮음,0.0,0.0,0.0,0.0
국가인적자원개발컨소시엄교육,10,< 10,1,중간,0.0,0.0,0.0,0.0
소프트웨어엔지니어,70,190,10,높음,0.0,0.8,0.0,0.41
풀스텍,80,70,3,높음,0.0,0.0,0.0,0.0
ADSP자격증,3290,9630,10,높음,4.5,30.6,0.15,0.34
아두이노,4100,4520,10,높음,27.2,39.6,0.69,0.94
ADSP독학,2730,5530,10,높음,5.1,21.8,0.2,0.41
C++,590,580,10,높음,0.4,1.0,0.07,0.19
CHATGPT데이터분석,10,< 10,5,중간,0.2,0.0,2.0,0.0
웹프로그램,20,10,7,높음,0.4,0.0,1.95,0.0
제이쿼리,90,30,7,높음,0.0,0.0,0.0,0.0
프론트엔드강의,30,50,10,높음,0.7,1.0,2.26,2.0
HTML,7130,3740,10,높음,1.6,2.2,0.03,0.07
IT세미나,70,30,7,높음,0.0,0.3,0.0,0.82
자바온라인강의,< 10,< 10,7,높음,0.1,0.0,7.15,0.0
ADSP인강,170,200,10,높음,3.4,7.2,1.96,3.66
백엔드강의,20,30,7,높음,0.0,0.2,0.0,0.78
코딩온라인,< 10,20,7,높음,0.1,0.3,2.05,0.97
내일배움카드부트캠프,50,80,7,높음,0.9,3.6,1.51,4.19
파이썬부트캠프,20,40,10,높음,0.2,2.8,1.0,6.9
화이트해커,470,1870,10,높음,1.1,7.8,0.24,0.45
C#기초,20,10,7,높음,0.1,0.0,0.72,0.0
MFC강의,< 10,< 10,3,높음,0.0,0.3,0.0,25.0
게임기획강의,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
데이터분석준전문가,3690,5880,10,높음,1.4,9.0,0.04,0.16
ADSP강의,150,160,10,높음,3.2,4.4,2.17,2.77
웹퍼블리셔강의,20,< 10,7,높음,0.0,0.0,0.0,0.0
조경설계,170,170,10,높음,1.3,0.8,0.77,0.47
DB교육,10,10,7,높음,0.0,0.0,0.0,0.0
IT재직자교육,< 10,< 10,7,높음,0.1,0.0,4.77,0.0
데이터아키텍처준전문가,210,180,7,높음,0.0,0.3,0.0,0.16
빅데이타,20,60,7,높음,0.0,0.5,0.0,0.81
빅데이터공모전,20,20,3,높음,0.0,0.0,0.0,0.0
빅데이터사이트,30,< 10,7,높음,0.0,0.3,0.0,6.25
통계학원,< 10,20,10,높음,0.1,1.8,1.12,9.73
C#인터넷강의,< 10,< 10,7,높음,0.1,0.3,4.77,8.34
안드로이드앱만들기,20,30,7,높음,0.0,1.1,0.0,2.95
개발강의,10,< 10,7,높음,0.0,0.0,0.0,0.0
유니티교육,10,10,7,높음,0.6,0.5,5.72,3.04
코딩인강사이트,10,20,7,높음,0.7,1.3,4.47,4.91
R기초,20,20,4,중간,0.0,0.0,0.0,0.0
4차산업혁명,1260,2070,10,높음,0.4,4.3,0.04,0.22
조경자격증,160,430,10,높음,1.1,9.0,0.68,2.18
국비지원프로그래밍,< 10,10,7,높음,0.0,0.5,0.0,3.34
인공지능국비지원,10,20,7,높음,0.1,0.6,0.76,2.61
인공지능교육,130,90,10,높음,0.3,1.4,0.24,1.49
정보보안인강,< 10,< 10,0,낮음,0.0,0.3,0.0,2.78
UXUI온라인강의,< 10,< 10,0,낮음,0.0,0.0,0.0,0.0
머신러닝부트캠프,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
조경관리사,240,530,10,높음,0.7,11.2,0.3,2.22
코딩클럽,< 10,10,5,중간,0.0,1.7,0.0,10.42
코딩배우기,690,1950,10,높음,5.1,33.0,0.77,1.78
네트워크엔지니어학원,70,< 10,7,높음,0.7,0.0,0.97,0.0
CHATGPT학원,< 10,20,7,높음,0.0,2.3,0.0,10.72
ROS교육,10,10,7,높음,1.0,0.0,6.67,0.0
C언어독학,20,40,10,높음,0.0,0.5,0.0,1.09
IOT제품,150,430,10,높음,1.0,5.9,0.7,1.55
IT교육원,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
JAVASCRIPT,720,760,10,높음,0.1,0.5,0.02,0.07
SQLP,1130,1220,10,높음,1.2,1.5,0.11,0.13
SQL국비지원,10,10,7,높음,0.4,0.2,3.3,1.27
개발자강의,< 10,< 10,7,높음,0.0,0.0,0.0,0.0
개발자종류,50,100,7,높음,0.1,0.3,0.27,0.26
디지털교육,200,210,10,높음,0.1,1.0,0.06,0.5
머신비전카메라,70,30,7,높음,3.6,0.8,5.11,2.52
